Division,Club,Possession,Player,Best Pos,Sec. Position,Age,Height,Left Foot,Right Foot,Rating,PoM,Minutes,Goals,Mins/Gl,Goals per 90 minutes,xG,NP-xG,xG-OP,xG/90,Conv %,xG/shot,Shot/90,ShT/90,Shots From Outside The Box Per 90 minutes,Shot %,Goals From Outside The Box,Pens,Pen/R,Assists,Asts/90,xA,xA/90,Pas %,Ps A/90,Ch C/90,OP-KP/90,Pr passes/90,Crs A/90,Cr C/90,Cr C/A,OP-Crs A/90,OP-Crs C/90,OP-Cr %,Drb/90,Fouls Against,Off,Poss Lost/90,Poss Won/90,Tck/90,Int/90,Pres A/90,Tck R,Tck A,K Tck,Blk/90,Clr/90,Shts Blckd/90,Fouls Made,Yel,Red cards,Dist/90,Sprints/90,Recurring Injury,Injury Susceptibility,Aer A/90,Hdr %,K Hdrs/90,Clean Sheets,xGP,MLG,Sv %,Svh,Svp,Svt,Goals Conceded,Pens Faced,Pens Saved Ratio,Tgls/90,Tcon/90
Serie A,Spezia,0.5,Aleš Matějů,D (R),"D (C), WB (L)",30,"6'1""",Fairly Strong,Very Strong,6.94,0,1279,0,0,0,0.11,0.11,-0.11,0,0%,0.055,0.1,0.1,0.1,50%,0,0,0,1,0.1,1.68,0.1,84%,44.2,0.4,1.3,4.5,4.3,0.8,18,4.3,0.8,18,4.5,14,0,18.1,10.5,2.3,3.7,9.4,84,38,2,0.7,0.6,0.9,24,3,0,12.8,24.1,No recurring injuries,Very Low,3.6,51,0.1,0,0,0,0,0,0,0,0,0,0,0.7,0.8
Jupiler Pro League,Standard,0.50,Boško Šutalo,D (C),D/WB (R),26,"6'2""",Fairly Strong,Very Strong,6.63,0,1019,0,0,0,0.13,0.13,-0.13,0,0%,0.065,0.2,0.1,0,50%,0,0,0,0,0,0.19,0,88%,40.6,0.2,0.1,1.6,0.1,0,0,0.1,0,0,0,1,0,3.4,13.8,0.4,3,3.1,63,8,1,0.7,0.9,0.5,6,1,0,9.6,5.7,No recurring injuries,Very High,4.9,69,0.5,0,0,0,0,0,0,0,0,0,0,1.1,1.1
Sky Bet Championship,Hull,0.39,Ivor Pandur,GK,,26,"6'2""",Weak,Very Strong,6.49,2,1800,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,68%,25.9,0,0,0.2,0,0,0,0,0,0,0,6,0,10.1,3.2,0,0.1,0,0,0,0,0,3.6,0,0,0,0,5.6,0,No recurring injuries,Below Average,0,0,0,3,-7.03,0,62,21,25,8,32,0,0,1.1,1.6
Premier League,Man City,0.56,Joško Gvardiol,D (LC),WB (L),24,"6'1""",Very Strong,Fairly Strong,7.06,0,1413,0,0,0,0.62,0.62,-0.62,0,0%,0.155,0.3,0.1,0,50%,0,0,0,1,0.1,2.1,0.1,92%,77.5,0.4,1.4,10.4,0.7,0.2,27,0.7,0.2,27,0.4,3,0,8.5,13.1,3.2,4.1,9.4,77,66,2,0.8,0.8,0.4,17,2,0,12.8,18.7,No recurring injuries,Below Average,3.7,64,0.3,0,0,1,0,0,0,0,0,0,0,2.4,0.9
Eredivisie,Ajax,0.60,Josip Šutalo,D (C),,26,"6'1""",Reasonable,Very Strong,6.84,0,1523,0,0,0,0.72,0.72,-0.72,0,0%,0.09,0.5,0.1,0.1,13%,0,0,0,1,0.1,0.75,0,95%,51.4,0.1,0.2,2.1,0.1,0.1,100,0.1,0.1,100,0.1,3,0,2.4,20.3,0.5,2.7,2,57,14,1,0.6,0.9,0.5,6,1,0,9.7,4.7,No recurring injuries,Average,4.7,65,0.6,0,0,0,0,0,0,0,0,0,0,1.7,0.9
Bundesliga,VfL Bochum 1848,0.38,David Čolina,D (L),,26,"5'9""",Very Strong,Weak,7.04,1,1164,0,0,0,0,0,0,0,0%,0,0.1,0,0.1,0%,0,0,0,1,0.1,1.04,0.1,85%,48.6,0.2,2.3,5.6,6.1,1.1,17,5.4,0.7,13,5.5,12,0,20.3,8.1,2.2,3.5,11.1,74,39,0,0.9,1.9,0.3,7,0,0,12.2,24.4,No recurring injuries,Average,2.9,27,0.4,0,0,0,0,0,0,0,0,0,0,0.9,1.2
Serie BKT,Union Brescia,0.5,Frederik Sørensen,D (C),,34,"6'4""",Weak,Very Strong,6.78,0,1197,0,0,0,0.13,0.13,-0.13,0,0%,0.065,0.2,0,0,0%,0,0,0,0,0,0,0,70%,21.1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1.6,0,0,100,21,0,0,0,0,25,0,0,0,0,No recurring injuries,Very Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serie A,AS Roma,0.5,Diego Coppola,D (C),,22,"6'4""",Reasonable,Very Strong,6.82,0,1247,0,0,0,0.54,0.54,-0.54,0,0%,0.054,0.7,0.2,0.4,30%,0,0,0,0,0,0.26,0,94%,51.9,0.1,0.1,2.5,0,0,0,0,0,0,0.1,5,0,2.8,15.6,0.7,3,2.8,83,12,0,0.6,0.5,0.4,9,1,0,10.2,4.5,No recurring injuries,Below Average,6.4,64,0.8,0,0,0,0,0,0,0,0,0,0,1.2,1
Ligue 1 McDonald's,OL,0.56,Filippo Terracciano,D (R),D/WB (L),23,"6'1""",Reasonable,Very Strong,7.01,2,1350,0,0,0,1.55,1.55,-1.55,0.1,0%,0.1409090909,0.7,0.2,0.3,27%,0,0,0,0,0,0.89,0.1,92%,62.2,0.2,0.9,8.5,0.5,0.2,37,0.5,0.2,38,0.8,9,0,12.1,11.9,1.5,3.7,6.9,66,35,2,0.3,1.2,0.4,13,0,0,11.6,15.2,No recurring injuries,Below Average,2.7,80,0.1,0,0,0,0,0,0,0,0,0,0,1.1,0.9
Serie A,Bologna,0.5,Mattia Zanotti,D/WB (R),,23,"5'10""",Fairly Strong,Very Strong,6.98,1,1490,0,0,0,0.75,0.75,-0.75,0,0%,0.15,0.3,0,0.1,0%,0,0,0,4,0.2,1.41,0.1,89%,60,0.2,0.9,7.7,1,0.2,25,1,0.2,25,0.4,17,0,14.7,12.7,1.6,3.7,7.4,76,34,4,0.5,1.1,0.5,25,4,0,11.4,16.8,No recurring injuries,Average,2.2,59,0.2,0,0,0,0,0,0,0,0,0,0,1.2,1.3
First Division,Vigo,0.52,Sergio Carreira,D (R),,26,"5'7""",Reasonable,Very Strong,6.69,0,1011,0,0,0,0.22,0.22,-0.22,0,0%,0.11,0.2,0,0.1,0%,0,0,0,0,0,0.72,0.1,88%,49.2,0.1,1.6,6,7.5,1.2,16,7.5,1.2,17,2.9,12,1,17.6,9.3,2.3,2.8,10.5,68,38,3,0.9,1.3,0.2,12,0,0,12.6,26,No recurring injuries,Above Average,2.6,48,0.2,0,0,0,0,0,0,0,0,0,0,1.2,1.2
First Division,Burgos,0.35,Oier Luengo,D (C),DM,29,"6'0""",Reasonable,Very Strong,6.69,1,1440,0,0,0,0.5,0.5,-0.5,0,0%,0.0625,0.5,0.1,0.2,25%,0,0,0,0,0,0.33,0,87%,51,0,0.9,6.1,1.1,0.2,23,1.1,0.2,24,0.4,14,1,14.6,9.3,1,2.8,5.9,53,30,2,0.7,0.8,0.7,13,2,0,11.3,10.9,No recurring injuries,Below Average,4.4,54,1,0,0,0,0,0,0,0,0,0,0,0.9,1.8
Premier League,VIZ,0.39,Moha,"DM, M (C)",D (R),26,"5'7""",Very Weak,Very Weak,6.45,0,1088,0,0,0,0.36,0.36,-0.36,0,0%,0.045,0.7,0.3,0.3,50%,0,0,0,3,0.2,1.69,0.1,88%,7.9,0.4,0.4,1.1,0.2,0,0,0,0,0,0,4,0,14.9,8.1,0.3,0.5,0.5,100,4,0,0.2,0.2,0,2,1,0,1.5,1.3,No recurring injuries,Below Average,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.9
First Division,Cádiz,0.5,Víctor Chust,D (C),,26,"6'0""",Fairly Strong,Very Strong,6.85,0,1235,0,0,0,0.88,0.88,-0.88,0.1,0%,0.44,0.1,0,0,0%,0,0,0,0,0,0.44,0,90%,45.4,0.1,0,2.5,0.1,0,0,0.1,0,0,0.1,2,0,3.3,16.2,0.9,2.6,3.3,75,16,1,0.5,1.2,0.7,10,0,0,10.2,3.6,No recurring injuries,High,4.7,64,1,0,0,0,0,0,0,0,0,0,0,1.1,1.1
First Division,Cádiz,0.5,Sergio Ortuño,M (C),AM (C),27,"5'10""",Weak,Very Strong,6.84,1,1176,0,0,0,0.25,0.25,-0.25,0,0%,0.125,0.2,0.1,0,50%,0,0,0,2,0.2,2.45,0.2,90%,53.1,0.6,1.1,6.4,0.1,0,0,0.1,0,0,0.5,8,0,7.3,12.2,0.9,2.4,5.1,75,16,1,0.3,0.5,0.2,13,1,0,11.5,12.1,No recurring injuries,Below Average,1.5,15,0.1,0,0,0,0,0,0,0,0,0,0,1,1.1
First Division,Real San Sebastián,0.5,Sergio Gómez,AM (L),"M (L), AM (R)",26,"5'7""",Very Strong,Weak,6.93,1,1322,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,1,0.1,2.76,0.2,90%,66.4,0.1,1.2,8.9,5.4,1,17,1.8,0.2,11,0.9,14,2,13.5,13.5,2.7,3.3,6.5,85,47,4,0.3,0.8,0.3,14,0,0,10.6,15.7,No recurring injuries,Average,1.7,40,0.1,0,0,0,0,0,0,0,0,0,0,1.2,1.2
Serie A,Bologna,0.5,Juan Miranda,D (L),M (L),26,"6'1""",Very Strong,Reasonable,7.01,0,1515,0,0,0,0.28,0.28,-0.28,0,0%,0.07,0.2,0,0.1,0%,0,0,0,3,0.2,4.27,0.3,91%,65.2,0.2,1,8.2,2,0.3,15,1.6,0.3,19,0.9,16,3,13.3,12.9,2.2,3,6.9,79,47,0,0.4,0.5,0.5,39,3,0,10.1,14.6,No recurring injuries,Below Average,3.4,56,0.4,0,0,0,0,0,0,0,0,0,0,1.4,1.4
Premier League,BRG,0.57,Víctor Gómez,D/WB (R),,26,"5'7""",Reasonable,Very Strong,6.77,0,1653,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,1,0.1,2.78,0.2,87%,47,0.2,1.6,5.2,7.2,1.3,17,7.2,1.3,17,2,23,4,14,15.1,1.5,3.2,10.7,61,44,1,0.7,0.5,0.2,17,1,1,12,23.7,No recurring injuries,Below Average,3,32,0.1,0,0,0,0,0,0,0,0,0,0,1.1,0.8
First Division,Getafe,0.38,Abdelkabir Abqar,D (C),,27,"6'2""",Fairly Strong,Very Strong,6.75,0,1209,0,0,0,0.87,0.87,-0.87,0.1,0%,0.09666666667,0.7,0.2,0.2,33%,0,0,0,0,0,0.18,0,92%,48,0.1,0.1,2.7,0,0,0,0,0,0,0,4,0,3.7,12.2,0.7,3.4,2.3,100,9,1,0.4,0.6,0.3,12,5,0,10,3.6,Recurring moderate calf muscle strain,Very High,6.2,59,1.2,0,0,0,0,0,0,0,0,0,0,1,1.3
First Division,Getafe,0.38,Juan Berrocal,D (C),,27,"6'2""",Fairly Strong,Very Strong,6.88,0,1114,0,0,0,0.94,0.94,-0.94,0.1,0%,0.1342857143,0.6,0.2,0.4,43%,0,0,0,2,0.2,1.15,0.1,88%,43.7,0.1,0.2,2.3,0,0,0,0,0,0,0.1,2,0,6.3,9.9,0.4,2.5,3.5,83,6,2,0.7,1.4,0.2,6,3,0,10.2,4.2,No recurring injuries,Above Average,6,80,1.1,0,0,0,0,0,0,0,0,0,0,0.8,1.5
Second Division,Tenerife,0.44,Dani Martín,GK,,28,"6'2""",Weak,Very Strong,6.63,1,1620,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,89%,24.1,0,0,0.1,0,0,0,0,0,0,0,7,0,7.9,5.7,0,0,0,0,0,0,0,1.6,0,0,0,0,5.5,0.1,No recurring injuries,Very Low,0,0,0,2,-2.8,0,74,14,36,14,23,0,0,1,1.3
First Division,Levante,0.39,Diego Pampín,D (L),,26,"5'9""",Very Strong,Fairly Strong,6.81,1,1185,0,0,0,0.03,0.03,-0.03,0,0%,0.015,0.2,0,0.1,0%,0,0,0,0,0,1.98,0.2,89%,54.8,0.2,0.6,7.1,1.7,0.1,4,1.7,0.1,5,1.3,10,1,15.9,9.3,1.7,3.4,7,81,27,2,0.9,1.4,0.8,9,0,0,11.9,16.3,No recurring injuries,Average,3.3,58,0.2,0,0,0,0,0,0,0,0,0,0,0.6,1.6
Second Division,Coruña,0.5,Álvaro Fernández,GK,,28,"6'1""",Reasonable,Very Strong,6.78,3,1440,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,91%,24,0,0,0,0,0,0,0,0,0,0,6,0,7.3,4.8,0.1,0.1,0,33,3,0,0,2.2,0,0,0,0,5.6,0,No recurring injuries,Low,0,0,0,5,-0.29,0,69,10,24,5,18,3,33,0.9,1.1
Premier League,Arsenal,0.61,Martín Zubimendi,DM,,27,"5'11""",Fairly Strong,Very Strong,6.84,0,1655,0,0,0,0.44,0.44,-0.44,0,0%,0.07333333333,0.3,0.1,0.2,33%,0,0,0,0,0,0.5,0,94%,62.8,0,0.8,8,0.1,0.1,50,0.1,0.1,50,0.1,3,0,4.1,6,1.5,2.7,5.3,78,36,3,0.7,0.9,0.3,9,2,0,12.1,14.1,No recurring injuries,Average,1.2,45,0.1,0,0,0,0,0,0,0,0,0,0,1.8,1
Second Division,Alavés,0.5,Ander Guevara,DM,,29,"5'11""",Reasonable,Very Strong,7.21,3,1383,0,0,0,1.21,1.21,-1.21,0.1,0%,0.11,0.7,0.1,0.3,18%,0,0,0,4,0.3,3.14,0.2,95%,57.9,0.4,0.9,7.3,0.1,0,0,0.1,0,0,0.1,9,0,4.7,15.7,1.1,2.7,7.4,81,21,2,0.7,1,0.2,5,0,0,11.7,13.3,No recurring injuries,Above Average,2,48,0.1,0,0,0,0,0,0,0,0,0,0,1,1.1
Second Division,Tenerife,0.44,Iván Chapela,AM (R),M (L),27,"5'11""",Weak,Very Strong,6.7,0,1103,0,0,0,0.98,0.98,-0.98,0.1,0%,0.1088888889,0.7,0.2,0.3,33%,0,0,0,2,0.2,2.11,0.2,84%,41.5,0.2,1.4,4.5,3.7,0.4,11,3.7,0.4,11,3.3,9,0,18,4.5,0.7,2.2,8.7,42,19,0,0.1,0.8,0,14,1,0,11.2,16.8,No recurring injuries,High,2.7,33,0,0,0,0,0,0,0,0,0,0,0,1.1,1.2
Second Division,Almería,0.5,Álex Centelles,D (L),,27,"6'1""",Very Strong,Weak,7.01,2,1527,0,0,0,0.23,0.23,-0.23,0,0%,0.0575,0.2,0.1,0.1,25%,0,0,0,1,0.1,1.2,0.1,85%,55.2,0.1,0.9,8.4,2.6,0.5,20,2.6,0.5,20,1.1,9,0,14,14.1,1.6,3.1,7.1,75,36,0,0.5,0.9,0.2,17,2,0,11.9,15.4,No recurring injuries,Low,4.4,78,0.5,0,0,0,0,0,0,0,0,0,0,1.2,1.1
Second Division,S. Gijón,0.5,Guille Rosas,D (R),,26,"5'9""",Weak,Very Strong,7.25,0,1003,0,0,0,1.41,1.41,-1.41,0.1,0%,0.1175,1.1,0.2,0.4,17%,0,0,0,0,0,0.68,0.1,94%,69.5,0.1,1.3,8.3,0.9,0.1,10,0.9,0.1,10,0.7,17,0,10.6,16,2,3.3,8,76,29,3,0.5,1.3,0.2,10,2,0,11.3,17.4,No recurring injuries,Above Average,2.1,57,0.1,0,0,0,0,0,0,0,0,0,0,1.3,0.8
Premier League,Spurs,0.55,Pedro Porro,WB (R),M (R),27,"5'9""",Weak,Very Strong,7.22,3,1205,0,0,0,0.67,0.67,-0.67,0.1,0%,0.04785714286,1,0.7,0.8,64%,0,0,0,6,0.4,5.73,0.4,90%,60.2,1.1,3.1,6,12,2.3,19,10.3,2,20,3.1,11,3,16.1,9.4,2.2,4.6,8.2,77,39,0,0.5,1,0.2,34,6,1,13.6,30.6,No recurring injuries,Below Average,2.8,29,0,0,0,1,0,0,0,0,0,0,0,1.3,0.7
Eredivisie,Sparta Rotterdam,0.46,Teo Quintero,D (C),DM,27,"6'3""",Very Strong,Weak,6.84,1,1111,0,0,0,0.53,0.53,-0.53,0,0%,0.1325,0.3,0.1,0,25%,0,0,0,0,0,0.63,0.1,90%,41.6,0.2,0.2,3,0.3,0.2,50,0.3,0.2,50,0.1,4,0,3.5,16.8,0.6,3.2,3.1,80,10,2,0.7,1.1,1.4,4,0,0,10.5,6.4,No recurring injuries,Above Average,5.8,69,1,0,0,0,0,0,0,0,0,0,0,1.1,1.1
Second Division,S. Gijón,0.5,Javi Montero,D (C),,27,"6'1""",Very Strong,Reasonable,6.68,0,1620,0,0,0,0.31,0.31,-0.31,0,0%,0.0775,0.2,0,0.1,0%,0,0,0,1,0.1,0.9,0.1,89%,44,0.1,0.2,2.1,0,0,0,0,0,0,0.1,7,0,3.8,13.1,0.7,2,2.9,80,15,2,0.4,1.1,0.5,12,2,0,9.6,3.3,No recurring injuries,Above Average,5.8,74,1.2,0,0,0,0,0,0,0,0,0,0,1.4,0.9
Second Division,Málaga,0.57,Diego Murillo,D (C),D (R),25,"5'10""",Reasonable,Very Strong,6.8,0,1740,0,0,0,1.31,1.31,-1.31,0.1,0%,0.1091666667,0.6,0.2,0.3,25%,0,0,0,0,0,0.55,0,89%,40.8,0.1,0.2,1.9,0,0,0,0,0,0,0.2,4,0,3,15.7,0.5,2.4,2.8,82,11,1,0.6,0.9,0.5,8,1,0,10.6,4.4,No recurring injuries,Below Average,6.3,67,0.9,0,0,0,0,0,0,0,0,0,0,1.4,0.7
Second Division,Málaga,0.57,Ramón Enríquez,M (C),,25,"5'8""",Reasonable,Very Strong,6.86,0,1476,0,0,0,0.27,0.27,-0.27,0,0%,0.03,0.5,0.1,0.1,22%,0,0,0,4,0.2,5.52,0.3,91%,52.9,0.4,0.9,6.5,0.1,0,0,0.1,0,0,0.1,6,1,6.5,13.1,0.9,2.4,5.5,74,19,0,0.3,0.5,0.4,11,0,0,12.4,11.1,No recurring injuries,High,2.1,35,0.1,0,0,0,0,0,0,0,0,0,0,1.3,0.7
Eredivisie,N.E.C.,0.54,Gonzalo Crettaz,GK,,26,"5'11""",Weak,Very Strong,6.71,1,1189,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,88%,23.9,0,0,0,0,0,0,0,0,0,0,1,0,5.3,4.5,0,0,0,0,1,0,0,3,0,0,0,0,5.3,0,No recurring injuries,Above Average,0,0,0,3,-2.59,1,65,8,19,5,17,1,0,1.2,1.3
Ligue 1 McDonald's,Brest,0.51,José Marsà,D (C),,24,"6'1""",Very Strong,Reasonable,6.88,0,1800,0,0,0,0.23,0.23,-0.23,0,0%,0.03833333333,0.3,0.1,0.2,50%,0,0,0,0,0,1.2,0.1,91%,40.9,0.1,0.1,1.9,0,0,0,0,0,0,0.1,2,0,3,12.1,0.3,2.2,2.1,70,10,1,0.5,1.1,0.6,7,0,0,10.2,4.3,No recurring injuries,Average,5.2,78,1.4,0,0,0,0,0,0,0,0,0,0,1.1,1.1
First Division,Vigo,0.52,Ilaix Moriba,"DM, M (C)",AM (C),23,"6'1""",Fairly Strong,Very Strong,6.73,0,1136,0,0,0,0.39,0.39,-0.39,0,0%,0.05571428571,0.6,0.1,0.2,14%,0,0,0,0,0,1.42,0.1,92%,58.5,0.1,0.6,6,0.1,0,0,0.1,0,0,0.4,9,0,8,10.6,0.6,1.8,7.8,47,17,0,0.2,0.2,0,15,3,0,11.6,14.2,No recurring injuries,Average,2.3,76,0.2,0,0,0,0,0,0,0,0,0,0,1.3,1.2
Second Division,Eibar,0.55,Jonmi Magunagoitia,GK,,26,"6'0""",Weak,Very Strong,6.73,2,1440,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,86%,23.7,0,0,0,0,0,0,0,0,0,0,1,0,5.7,5.7,0.1,0,0,50,2,0,0,4.8,0,0,0,0,5.2,0,No recurring injuries,High,0,0,0,4,5.69,0,75,14,27,9,17,2,50,1.2,1.1
Second Division,Córdoba,0.5,Xavi Sintes,D (C),DM,25,"6'2""",Weak,Very Strong,6.87,0,1467,0,0,0,0,0,0,0,0%,0,0.1,0,0.1,0%,0,0,0,1,0.1,2.55,0.2,91%,47.2,0.1,0.3,3.4,0.2,0.1,66,0.2,0.1,67,0.1,5,3,4.7,13.4,1.2,2.8,4.8,67,30,1,0.4,1,0.4,13,2,0,10.7,6.7,No recurring injuries,Below Average,4.7,69,0.9,0,0,0,0,0,0,0,0,0,0,1.2,1.1
First Division,Vallecano,0.53,Pep Chavarría,D (L),M (L),28,"5'9""",Very Strong,Weak,7.07,1,1326,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,2,0.1,1.09,0.1,93%,65.8,0.1,1.2,7.9,2.9,0.5,19,2.9,0.5,19,0.9,9,0,12.8,11.5,2.3,3.7,7.7,85,40,1,0.3,0.5,0.3,14,2,0,10.8,16.7,No recurring injuries,Below Average,2.1,52,0.1,0,0,0,0,0,0,0,0,0,0,1.3,1
Second Division,Zaragoza,0.48,Martín Aguirregabiria,D (R),,30,"5'10""",Weak,Very Strong,6.9,1,1159,0,0,0,1.55,1.55,-1.55,0.1,0%,0.2583333333,0.5,0.1,0.2,17%,1,0,0,2,0.2,0.79,0.1,84%,55.4,0.2,1.2,7.7,1.4,0.4,27,1.4,0.4,28,0.5,10,2,14.4,12.4,1.9,2.8,7.9,76,33,3,0.4,0.9,0.5,16,1,0,11.3,15.7,No recurring injuries,Above Average,2.7,63,0.2,0,0,0,0,0,0,0,0,0,0,1.2,0.8
Second Division,Espanyol,0.57,Jofre Carreras,AM (R),"D (R), WB/M/AM (L)",25,"5'9""",Reasonable,Very Strong,6.86,0,1324,0,0,0,0.37,0.37,-0.37,0,0%,0.0925,0.3,0.1,0.1,25%,0,0,0,2,0.1,1.88,0.1,84%,41.8,0,1.2,4.4,6.7,0.4,6,6.7,0.4,6,3.1,21,2,14.1,11.1,1.9,3,9.7,82,34,1,0.5,1,0.1,18,1,0,12.3,24.2,No recurring injuries,Below Average,3,43,0.2,0,0,0,0,0,0,0,0,0,0,1,1.1
Serie A,Celesti,0.5,Mario Gila,D (C),,26,"6'0""",Reasonable,Very Strong,6.82,0,1735,0,0,0,1.39,1.39,-1.39,0.1,0%,0.1544444444,0.5,0.1,0,11%,0,0,0,1,0.1,0.59,0,94%,48,0.1,0.2,1.9,0,0,0,0,0,0,0,7,0,2.5,15,0.4,2.6,2.1,89,9,1,0.5,0.5,0.4,15,2,0,10.2,3.6,No recurring injuries,Very Low,4.6,72,1,0,0,0,0,0,0,0,0,0,0,1.2,1.1
Second Division,Leonesa,0.48,Peru Rodríguez,D (C),,24,"5'11""",Fairly Strong,Very Strong,6.68,0,1101,0,0,0,0.28,0.28,-0.28,0,0%,0.056,0.4,0,0.2,0%,1,0,0,0,0,0.29,0,90%,40,0,0.2,2,0,0,0,0,0,0,0.1,2,0,3.2,12.3,0.2,3,2.1,67,3,1,0.8,1.1,0.6,3,0,0,9.4,3.8,No recurring injuries,High,3.7,64,0.2,0,0,0,0,0,0,0,0,0,0,0.8,1.1
Premier League,Alverca SAD,0.45,Sabit Abdulai,M (C),,27,"6'2""",Very Weak,Very Weak,6.78,1,1075,0,0,0,0.3,0.3,-0.3,0,0%,0.06,0.4,0.1,0.1,20%,0,0,0,0,0,1.48,0.1,89%,53.1,0.1,0.4,3.3,0.2,0.2,100,0.2,0.2,100,0.1,6,1,7.1,10.8,1.9,3.6,5.6,77,30,3,0.5,0.7,0.1,14,0,0,11.8,11.6,No recurring injuries,Above Average,2.6,52,0.3,0,0,0,0,0,0,0,0,0,0,0.8,1.3
Serie A,Parthenope,0.5,Miguel Gutiérrez,WB (L),,25,"5'11""",Very Strong,Reasonable,6.72,0,1496,0,0,0,0.02,0.02,-0.02,0,0%,0.02,0.1,0,0,0%,0,0,0,0,0,1.52,0.1,84%,54.4,0.2,1.5,6,7.6,1,12,6.9,0.8,12,2.8,19,3,14.7,12,1.7,2.4,9.7,72,39,0,0.9,1,0.2,31,3,0,11.7,23.7,No recurring injuries,Very Low,3.7,42,0.3,0,0,0,0,0,0,0,0,0,0,1.4,1.1
Second Division,Alavés,0.5,Adrián,GK,,25,"6'5""",Weak,Very Strong,6.75,0,1530,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,79%,24.1,0,0.1,0,0,0,0,0,0,0,0,0,0,9.2,2.6,0,0,0,0,1,0,0,3.6,0,0,0,0,5.5,0,No recurring injuries,Below Average,0,0,0,5,1.12,0,72,18,26,8,20,1,0,1,1.2
Second Division,Tarragona,0.51,Diego Altube,GK,,26,"6'2""",Reasonable,Very Strong,6.51,0,1170,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,68%,25,0,0,0.2,0,0,0,0,0,0,0,2,0,9.2,5.3,0.1,0.2,0,25,4,0,0,3.9,0,0,0,0,5.2,0,No recurring injuries,Average,0,0,0,2,1.53,0,78,28,31,10,20,4,25,1.2,1.5
Second Division,Coruña,0.5,Diego Barri,DM,,31,"6'2""",Reasonable,Very Strong,6.9,0,1273,0,0,0,0.71,0.71,-0.71,0.1,0%,0.071,0.7,0.1,0.3,10%,0,0,0,2,0.1,1.72,0.1,94%,53.1,0.2,0.8,3.9,0.4,0.2,60,0.4,0.2,60,0.1,6,0,8.2,11.1,1.1,2.3,5.9,59,27,0,0.3,0.7,0.1,12,0,0,12.2,12,Recurring tight groin,Very High,3.2,62,0.8,0,0,0,0,0,0,0,0,0,0,0.8,1.3
Second Division,Huesca,0.53,Toni Abad,D (R),,30,"5'9""",Weak,Very Strong,6.78,0,1522,0,0,0,1.03,1.03,-1.03,0.1,0%,0.07923076923,0.8,0.4,0.3,46%,0,0,0,1,0.1,1.48,0.1,84%,53.5,0.1,1,7.3,2.1,0.4,16,2.1,0.4,17,0.5,10,2,13.6,12.5,2.4,2.5,8.6,80,51,1,0.4,1.1,1.1,17,1,0,11.2,15.8,No recurring injuries,Average,3.5,47,0.4,0,0,0,0,0,0,0,0,0,0,0.8,0.9
First Division,Barcelona,0.61,Joan García,GK,,25,"6'3""",Weak,Very Strong,6.85,1,1440,0,0,0,0,0,0,0,0%,0,0,0,0,0%,0,0,0,0,0,0,0,95%,24.6,0,0,0.1,0,0,0,0,0,0,0,1,0,6.7,5.2,0,0.2,0,0,2,0,0,1.3,0,0,0,0,6.1,0.1,No recurring injuries,Below Average,0,0,0,4,-1.27,1,73,10,22,12,17,2,0,1.7,1.1
First Division,Levante,0.39,Oriol Rey,DM,,28,"5'11""",Very Strong,Weak,6.66,0,1171,0,0,0,0.49,0.49,-0.49,0,0%,0.098,0.4,0.1,0.2,20%,0,0,0,0,0,0.19,0,93%,44.1,0,0.5,5.6,0,0,0,0,0,0,0.1,8,1,9.7,10.4,1.3,1.8,5.5,71,24,1,0.5,0.6,0.3,12,2,0,9.7,10.2,No recurring injuries,Average,2.9,53,0.3,0,0,0,0,0,0,0,0,0,0,0.5,1.5
Second Division,Almería,0.5,Edgar,D (C),,29,"6'4""",Weak,Very Strong,7.14,0,1125,0,0,0,0.31,0.31,-0.31,0,0%,0.0775,0.3,0,0.2,0%,0,0,0,3,0.2,0.84,0.1,93%,43.8,0,0.3,2.1,0.1,0,0,0.1,0,0,0,1,0,3.9,19.2,1.1,3.1,4,82,17,1,0.6,1.2,0.9,8,1,0,9.7,5.9,No recurring injuries,Average,5.2,82,1.4,0,0,0,0,0,0,0,0,0,0,1.4,1.1
